Production Companies,Num_Movies,Total_Domestic_Box_Office,Total_Worldwide_Box_Office
Bron Studios,40,"$107,766,957","$168,039,049"
21 Laps Entertainment,39,"$1,203,651,813","$2,707,462,961"
Gold Circle Films,39,"$945,824,316","$1,573,464,566"
Neon Films,39,"$141,835,752","$431,207,100"
Impact Partners,39,"$86,954,067","$181,561,539"
Killer Films,39,"$78,013,360","$169,996,154"
Centre National du Cinema et de L Image Animee,39,"$18,540,754","$119,809,303"
Annapurna Pictures,38,"$839,237,941","$1,372,271,871"
Bleecker Street,38,"$90,645,516","$165,400,251"
HBO Documentary Films,38,"$9,847,606","$46,933,659"
Abramorama,38,"$957,682","$1,492,699"
Revolution Studios,37,"$1,802,983,900","$3,223,848,476"
Roadside Attractions,37,"$147,950,809","$251,989,784"
Passion Pictures,37,"$9,288,379","$29,696,776"
Walden Media,36,"$1,726,270,472","$4,144,861,425"
United Artists,36,"$1,274,342,882","$3,236,619,934"
Reliance Entertainment,36,"$923,130,201","$2,118,708,354"
Disney-Pixar,35,"$6,353,008,870","$15,408,122,183"
di Bonaventura Pictures,35,"$2,928,080,182","$8,181,364,016"
Tribeca Film,35,"$967,941,549","$2,408,899,626"
EuropaCorp,35,"$842,309,530","$2,475,598,051"
Bord Scannan na hEireann,35,"$86,846,265","$195,697,900"
RTBF,35,"$10,197,125","$126,933,811"
Greenwich Entertainment,35,"$4,580,072","$13,746,455"
The Kennedy/Marshall Company,34,"$2,822,419,499","$6,836,119,237"
Marc Platt Productions,34,"$1,405,903,908","$3,051,556,207"
Thunder Road Film,34,"$1,159,434,560","$2,751,173,314"
Constantin Film,34,"$608,618,041","$2,214,114,306"
Medienboard Berlin-Brandenburg,34,"$19,550,081","$137,660,525"
ITVS,34,"$4,372,283","$4,530,885"
Screen Media Films,34,"$2,883,118","$39,649,382"
Scope Pictures,33,"$8,305,864","$147,472,803"
Walt Disney Animation Studios,32,"$4,256,903,431","$11,218,372,273"
Dimension Films,32,"$976,607,186","$1,747,030,095"
LD Entertainment,32,"$321,215,544","$440,577,892"
Why Not Productions,32,"$261,721,549","$559,624,452"
Ford Foundation,32,"$3,170,273","$3,793,575"
Oscilloscope Laboratories,32,"$2,970,743","$10,569,328"
Heyday Films,31,"$4,467,349,804","$13,396,446,952"
Momentum Pictures,31,"$179,122,127","$565,536,313"
Spyglass Entertainment,30,"$2,311,618,021","$4,394,359,158"
Chernin Entertainment,30,"$1,896,780,200","$4,624,186,429"
MTV Films,30,"$1,122,391,455","$1,568,804,516"
TF1 Film Productions,30,"$369,284,158","$1,827,422,037"
WWE Studios,30,"$123,532,610","$180,411,057"
Cinecinema,30,"$111,766,976","$969,695,500"
Screen Ireland,30,"$21,558,394","$47,944,521"
Danish Film Institute,30,"$12,046,029","$57,917,625"
Northern Ireland Screen,30,"$11,267,037","$71,510,890"
Ontario Creates,30,"$8,096,150","$13,313,126"
Sony Pictures,29,"$609,423,686","$1,195,704,132"
CJ Entertainment,29,"$88,256,567","$772,032,359"
Protagonist Pictures,29,"$40,071,022","$109,079,392"
Umedia,29,"$20,678,120","$102,032,005"
Screen Yorkshire,29,"$13,574,336","$94,798,340"
The Orchard,29,"$5,893,527","$16,107,704"
Blue Fox Entertainment,29,"$1,517,372","$2,380,445"
Alcon Entertainment,28,"$1,108,369,331","$1,969,865,339"
Bron Creative,28,"$1,044,104,627","$2,117,045,954"
Black Bear,28,"$180,409,800","$391,414,638"
Cinereach Films,28,"$39,942,492","$54,041,904"
Yale Productions,28,"$5,736,519","$7,075,269"
WDR,28,"$4,273,769","$27,955,912"
Great Point Media,28,"$3,017,075","$15,241,259"
Kino Lorber,28,"$1,220,684","$8,709,459"
Epic Pictures Group,28,"$273,415","$5,320,739"
Mandeville Films,27,"$1,599,408,407","$3,229,843,208"
The Safran Company,27,"$1,546,751,544","$4,553,809,459"
STX Films,27,"$518,746,759","$824,234,764"
CNN Films,27,"$50,474,676","$55,640,124"
Elevation Pictures,27,"$20,723,304","$25,737,019"
SVT,27,"$11,435,045","$104,233,494"
Emmett Furla Oasis Films,27,"$9,183,420","$40,881,431"
SSS Entertainment,27,"$4,500,549","$5,977,749"
Just Films,27,"$2,716,896","$3,319,287"
Lionsgate Premiere,27,"$48,084","$32,805,768"
Sony Pictures Animation,26,"$2,174,312,292","$5,736,295,803"
Nickelodeon Films,26,"$1,190,916,879","$2,356,713,179"
Escape Artists,26,"$1,108,820,725","$2,146,588,017"
Open Road Films,26,"$457,193,600","$790,029,041"
Sidney Kimmel Entertainment,26,"$380,882,361","$648,264,201"
OCS.,26,"$72,560,200","$382,348,853"
Magnet Releasing,26,"$696,276","$15,934,138"
Eon Productions,25,"$2,068,675,169","$7,114,118,085"
Appian Way,25,"$798,300,830","$2,059,982,419"
Searchlight Pictures,25,"$148,457,826","$441,277,389"
Ontario Media Development Corporation,25,"$38,726,975","$82,634,359"
Mars Films,25,"$15,745,408","$231,022,287"
Screen NSW,25,"$9,516,965","$105,988,095"
Motto Pictures,25,"$7,865,366","$9,181,773"
Artemis Prods,25,"$4,254,909","$99,108,756"
First Run Features,25,"$253,070","$311,337"
Quiver Distribution Inc.,25,$0,"$170,170"
Lucasfilm,24,"$5,856,135,706","$12,028,723,419"
1492 Pictures,24,"$2,473,204,496","$6,133,668,279"
LStar Capital,24,"$1,505,003,967","$3,701,189,461"
Red Hour Productions,24,"$703,899,231","$1,192,291,970"
Vertigo Films,24,"$272,614,227","$677,293,567"
Endeavor Content,24,"$92,787,362","$180,280,110"
Silver Reel Entertainment,24,"$83,008,068","$254,718,726"
Myriad Pictures,24,"$46,924,219","$155,436,249"
Cohen Media Group,24,"$39,327,207","$113,179,608"
Embankment Films,24,"$27,202,030","$140,696,216"
Fox Star Studios,24,"$24,492,841","$204,121,569"
Nordisk Film,24,"$17,713,173","$132,755,079"
Pandora Filmproduktion,24,"$7,914,430","$80,673,040"
The Match Factory,24,"$5,235,607","$45,412,028"
Chicken and Egg Pictures,24,"$2,843,317","$2,931,501"
Bad Robot,23,"$3,055,104,013","$7,136,141,863"
Will Packer Productions,23,"$702,145,734","$867,353,469"
Cross Creek Pictures,23,"$522,975,584","$1,445,370,900"
CBS Films,23,"$484,518,704","$834,930,012"
Huayi Brothers Corp.,23,"$230,319,851","$1,494,894,884"
Mandalay Pictures,23,"$140,877,962","$219,704,669"
Worldview Entertainment,23,"$77,201,934","$188,583,043"
Film Victoria,23,"$55,063,890","$186,835,422"
Harold Greenberg Fund,23,"$15,996,487","$49,574,721"
Creative England,23,"$5,776,493","$35,885,173"
FFilm Cymru Wales,23,"$4,151,623","$11,517,770"
Whitewater Films,23,"$3,659,104","$4,458,526"
Sundance Institute Documentary Film Program,23,"$775,969","$1,106,973"
Overbrook Entertainment,22,"$1,744,864,394","$3,931,779,272"
Brian Grazer Productions,22,"$1,613,520,921","$3,581,302,763"
Weed Road Pictures,22,"$916,454,321","$2,304,736,039"
Anton Capital Entertainment,22,"$261,005,689","$1,017,456,769"
Element Pictures,22,"$110,011,514","$334,913,901"
Creative Wealth Media Finance,22,"$83,758,142","$135,589,212"
Isle of Man Film,22,"$24,942,368","$134,201,420"
South Australian Film Corp.,22,"$13,490,938","$51,356,767"
Film- und Medienstiftung NRW,22,"$9,220,941","$75,190,607"
Jerry Bruckheimer,21,"$3,101,090,066","$7,377,901,227"
DC Films,21,"$2,864,890,433","$7,431,400,829"
Malpaso Productions,21,"$1,317,416,808","$2,223,376,679"
Platinum Dunes,21,"$1,252,398,302","$2,319,230,662"
Gary Sanchez Productions,21,"$1,108,845,084","$1,676,832,359"
Atomic Monster,21,"$1,062,195,739","$2,993,009,161"
Jersey Films,21,"$782,151,943","$1,265,569,453"
American Zoetrope,21,"$447,570,410","$931,413,604"
Toho Co,21,"$352,125,547","$1,510,079,207"
Goldcrest Films,21,"$229,018,589","$519,403,748"
Wanda Media,21,"$184,393,825","$3,540,134,417"
Studio Ghibli,21,"$110,485,273","$1,560,060,232"
AGC,21,"$83,467,367","$196,419,377"
The Solution Entertainment Group,21,"$59,166,178","$110,900,732"
Yash Raj Films,21,"$49,759,601","$434,143,722"
Well Go USA Entertainment,21,"$40,878,998","$1,513,179,721"
Rabbit Bandini Productions,21,"$36,834,747","$62,209,716"
Parts and Labor,21,"$35,939,754","$65,383,121"
BBC Storyville,21,"$20,727,732","$26,229,953"
Swedish Film Institute,21,"$11,789,010","$59,230,124"
New Zealand Film Commission,21,"$6,153,248","$36,638,473"
RLJ Entertainment,21,"$620,726","$1,703,834"
Hollywood Pictures,20,"$1,037,191,189","$1,948,393,146"
Mandate Pictures,20,"$765,962,964","$1,203,331,029"
Nu Image,20,"$552,513,920","$1,555,578,303"
Dark Castle Entertainment,20,"$400,343,757","$798,899,671"
Radar Pictures,20,"$378,549,701","$1,047,010,999"
Hyde Park Entertainment,20,"$313,663,269","$498,183,773"
Likely Story,20,"$170,306,410","$353,339,856"
Pantelion Films,20,"$149,277,687","$299,021,924"
30 West,20,"$64,277,351","$158,304,588"
Faliro House Productions,20,"$41,457,329","$84,848,540"
FIS Eireann,20,"$21,434,475","$44,599,866"
MK2,20,"$18,941,695","$78,737,093"
Washington Square Films,20,"$18,332,031","$40,844,756"
Artemis Rising Foundation,20,"$9,929,092","$17,861,172"
The Movie Network,20,"$9,904,152","$29,715,412"
Polish Film Institute,20,"$9,267,756","$88,113,118"
Submarine Entertainment,20,"$3,386,691","$5,842,458"
Jigsaw Productions,20,"$2,234,109","$5,200,885"
Creative Europe,20,"$1,680,901","$9,913,224"
Buffalo 8 Productions,20,"$1,359,456","$3,784,051"
Parkes+Macdonald Productions,19,"$1,757,118,168","$4,259,018,005"
20th Century Studios,19,"$902,617,521","$2,775,262,198"
Morgan Creek Productions,19,"$825,078,412","$1,345,971,454"
Fuji Television Network,19,"$635,823,002","$1,947,491,601"
Phoenix Pictures,19,"$571,499,986","$1,532,084,086"
Rogue Pictures,19,"$509,343,672","$996,542,531"
See-Saw Films,19,"$260,973,354","$795,635,380"
Blueprint Films,19,"$186,235,416","$551,262,817"
RT Features,19,"$116,703,564","$262,294,302"
Riverstone Pictures,19,"$86,681,964","$199,846,886"
Pulse Films,19,"$30,374,142","$51,495,152"
Rocket Science,19,"$15,502,258","$37,487,122"
Le Pacte,19,"$13,432,534","$135,610,292"
Duplass Brothers,19,"$8,336,252","$9,234,167"
120dB Films,19,"$4,452,716","$9,168,780"
ZDF/ARTE,19,"$3,745,722","$13,926,808"
Altitude Film Entertainment,19,"$3,206,205","$26,530,890"
Hulu,19,"$2,625,418","$6,787,146"
Good Deed Entertainment,19,"$393,158","$706,678"
Dark Sky Films,19,"$111,641","$1,936,030"
Xlrator Media,19,$0,"$7,048,949"
Atlas Entertainment,18,"$1,922,153,172","$5,228,947,287"
GK Films,18,"$1,239,672,149","$3,452,449,741"
Mosaic Media,18,"$1,037,360,850","$1,748,409,572"
Playtone,18,"$981,111,987","$2,219,686,662"
Michael De Luca Productions,18,"$775,866,261","$2,227,271,123"
3 Arts Entertainment,18,"$589,360,172","$1,073,716,043"
Saturn Films,18,"$566,897,562","$1,284,131,148"
Image Nation Abu Dhabi,18,"$479,676,616","$917,356,322"
STX Entertainment,18,"$433,669,642","$726,708,071"
Disney Nature,18,"$151,613,280","$333,621,946"
The Netherlands Film Fund,18,"$24,588,699","$58,467,101"
Diamond Docs,18,"$11,029,803","$21,333,914"
Memento Films International,18,"$3,192,700","$72,388,742"
SWR,18,"$2,840,101","$15,089,764"
Larry Levinson Productions,18,$0,$0
Illumination Entertainment,17,"$3,850,162,095","$9,724,681,292"
Hasbro Studios,17,"$2,034,227,075","$5,598,040,126"
Donners’ Company,17,"$1,845,718,407","$4,626,331,260"
Seven Bucks Productions,17,"$1,149,800,764","$3,301,664,277"
Montecito Picture Company,17,"$670,377,551","$1,155,811,839"
Broken Road,17,"$609,617,978","$1,276,830,430"
HBO Films,17,"$397,819,338","$915,732,553"
PolyGram Filmed Entertainment,17,"$309,579,325","$862,279,991"
Paramount Players,17,"$298,996,822","$503,267,067"
Endgame Entertainment,17,"$249,904,237","$532,194,986"
Pure Flix,17,"$183,595,222","$196,861,559"
Bold Films,17,"$146,342,647","$286,298,967"
Topic,17,"$69,147,633","$130,116,396"
Zentropa Entertainments,17,"$10,318,357","$80,335,520"
Maven Pictures,17,"$10,244,830","$24,803,568"
Sundance Selects,17,"$4,424,504","$24,329,676"
Shanghai Film Group,17,"$3,330,276","$683,157,643"
The Canada Media Fund,17,"$2,521,112","$3,095,691"
Quickfire Films,17,"$1,842,720","$43,868,994"
Les Films du Worso,17,"$1,592,872","$21,047,720"
Procirep,17,"$1,570,887","$31,800,620"
Cinema Libre Studio,17,"$1,283,546","$6,408,524"
Bankside Films,17,"$187,605","$6,791,608"
Kreo Films,17,"$15,340","$17,540,198"
Ingenious Film Partners,16,"$1,534,127,803","$5,182,192,098"
Dentsu Inc.,16,"$1,123,053,388","$4,332,059,509"
Bluegrass Films,16,"$947,131,337","$2,134,955,384"
Point Grey,16,"$815,211,857","$1,245,930,892"
Warner Animation Group,16,"$778,146,816","$1,584,623,782"
The Mark Gordon Company,16,"$562,575,756","$1,582,937,893"
Rough House Pictures,16,"$412,514,741","$669,717,527"
Affirm Films,16,"$361,860,596","$406,855,077"
Imperative Entertainment,16,"$219,290,990","$452,519,389"
DNA Films,16,"$212,412,744","$518,403,186"
Big Beach,16,"$168,697,733","$232,979,472"
Macro Media,16,"$130,165,435","$155,371,857"
RadicalMedia,16,"$63,770,380","$113,981,273"
Dharma Productions,16,"$41,576,987","$418,674,099"
PBS,16,"$25,828,241","$28,464,914"
Recorded Picture Company,16,"$25,537,593","$131,016,084"
Circle of Confusion,16,"$18,345,514","$35,421,356"
Piccadilly Pictures,16,"$7,917,364","$25,111,253"
SBS Productions,16,"$7,202,461","$72,180,458"
La Region-Ile-de-France,16,"$5,434,631","$53,020,372"
CAA Media Finance,16,"$5,248,323","$22,934,835"
The Exchange,16,"$4,363,066","$35,546,428"
CBC Films,16,"$3,749,736","$5,516,621"
Rhone-Alpes Cinema,16,"$3,317,205","$38,736,961"
Music Box Films,16,"$1,804,655","$24,688,202"
VOO ET BETV,16,"$1,247,596","$58,739,296"
Indican Pictures,16,"$650,615","$650,615"
Anchor Bay Films,16,"$453,027","$4,711,072"
Media Finance Capital,16,"$71,163","$1,357,435"
Sunswept Entertainment,15,"$1,656,770,075","$3,965,947,403"
MRC,15,"$932,859,150","$2,664,476,998"
Benderspink Productions,15,"$743,326,878","$1,347,761,262"
MARV Films,15,"$591,358,781","$1,665,759,620"
Good Universe,15,"$532,850,614","$866,804,421"
Big Talk Pictures,15,"$266,133,753","$608,859,890"
40 Acres and a Mule Filmworks,15,"$242,858,251","$294,428,501"
Gotham Group,15,"$242,459,865","$951,716,777"
Depth of Field,15,"$200,588,138","$555,434,788"
Bona Fide,15,"$171,664,350","$301,359,360"
Crave Films,15,"$144,792,338","$299,476,689"
Snoot Entertainment,15,"$50,163,203","$86,456,146"
Baby Cow,15,"$46,516,756","$129,273,312"
Number 9 Films,15,"$32,747,977","$143,820,549"
Strand Releasing,15,"$26,271,655","$34,026,582"
Rhombus Media,15,"$18,832,713","$25,899,473"
Revolution Films,15,"$17,517,103","$40,438,780"
UTV Communications,15,"$15,183,341","$222,949,833"
Arclight Films,15,"$13,076,944","$47,110,642"
Deutscher Filmfoerderfonds,15,"$9,781,076","$58,396,520"
HBO Max,15,"$5,354,970","$34,443,275"
United King Films,15,"$3,909,925","$11,481,734"
Burn Later,15,"$3,699,850","$4,590,341"
Patriot Pictures,15,"$1,755,613","$3,887,876"
Bow & Arrow,15,"$1,351,748","$1,816,594"
JoBro,15,"$530,823","$1,457,870"
Shudder Films,15,"$481,559","$4,246,746"
Unified Pictures,15,"$380,916","$2,270,773"
Wingnut Films,14,"$2,359,684,377","$7,201,647,357"
Pascal Pictures,14,"$2,141,630,766","$5,260,152,639"
Color Force,14,"$1,946,945,892","$3,799,273,424"
Roth Films,14,"$1,565,167,142","$4,625,304,992"
Centropolis Entertainment,14,"$1,248,492,191","$3,670,100,879"
ImageMovers,14,"$1,007,026,636","$1,983,395,592"
Media Rights Capital,14,"$612,944,070","$1,491,053,064"
Reliance BIG Entertainment,14,"$584,336,381","$1,168,625,410"
Beacon Pictures,14,"$513,253,401","$940,925,373"
Hartbeat Productions,14,"$459,277,791","$1,079,260,840"
Leverage,14,"$439,457,774","$667,153,925"
Pariah Productions,14,"$380,014,495","$794,996,975"
Protozoa Pictures,14,"$292,230,222","$868,614,680"
River Road Entertainment,14,"$224,618,768","$725,803,720"
Waypoint Entertainment,14,"$109,851,941","$206,965,503"
Merchant Ivory Productions,14,"$78,550,593","$122,707,574"
BoulderLight Pictures,14,"$51,638,813","$63,602,434"
Orange Studio,14,"$46,267,012","$294,027,928"
Fabula,14,"$34,477,191","$81,400,746"
Echo Lake Entertainment,14,"$24,068,633","$62,361,391"
Blinder Films,14,"$17,405,249","$29,706,793"
Mongrel Media,14,"$15,956,398","$28,252,574"
DR,14,"$6,799,800","$70,654,944"
Les Films du Fleuve,14,"$6,760,013","$79,234,047"
T-Series,14,"$5,737,129","$17,383,355"
DR Nordisk Film & TV Fond,14,"$3,033,223","$17,578,650"
Beta Cinema,14,"$1,763,819","$8,911,769"
Bord Cadre,14,"$1,056,656","$5,597,822"
The Corporation for Public Broadcasting,14,"$680,631","$1,037,529"
Fork Films,14,"$324,404","$376,011"
Shout! Studios,14,"$80,487","$568,118"
Campfire,14,"$38,758","$109,199"
Zancuk Company,13,"$1,703,630,301","$4,064,075,497"
Blue Sky Studios,13,"$1,545,098,142","$5,080,704,457"
One Race Films,13,"$1,460,906,128","$6,171,361,566"
Blinding Edge Pictures,13,"$1,069,816,059","$2,326,971,051"
LuckyChap Entertainment,13,"$768,298,210","$1,729,013,672"
Mad Chance,13,"$632,323,793","$1,197,442,426"
Closest to the Hole,13,"$569,183,541","$862,711,434"
Di Novi Pictures,13,"$530,457,978","$829,477,143"
M6 Films,13,"$444,035,404","$1,244,112,495"
Huayi Brothers Pictures Ltd,13,"$349,346,114","$1,240,815,556"
Misher Films,13,"$313,428,319","$664,309,757"
Emmett/Furla Films,13,"$309,680,505","$562,360,875"
Provident Films,13,"$216,879,135","$227,579,693"
Amblin Partners,13,"$183,340,814","$422,162,262"
Millennium Media,13,"$154,054,005","$318,525,141"
Hercules Film Fund,13,"$144,420,100","$321,206,513"
Star Thrower Entertainment,13,"$136,332,467","$268,931,911"
Campbell Grobman Films,13,"$127,308,498","$262,537,934"
Demarest Films,13,"$108,165,971","$255,815,829"
Groundswell Productions,13,"$104,558,314","$164,247,883"
Electric Entertainment,13,"$84,714,916","$304,709,145"
Benaroya Pictures,13,"$56,330,948","$97,694,378"
Broad Green Pictures,13,"$45,574,122","$66,135,318"
Apple Original Films,13,"$45,207,275","$98,481,317"
Scythia Films,13,"$25,316,211","$45,958,137"
Nadiadwala Grandson Entertainment,13,"$22,748,405","$55,680,862"
UTV Motion Pictures,13,"$17,979,143","$147,465,936"
UFund,13,"$17,823,157","$114,136,167"
Cold Iron Pictures,13,"$15,469,970","$20,824,096"
Sixteen Films,13,"$5,644,853","$77,109,827"
Bayerischer Rundfunk,13,"$4,144,988","$33,328,535"
Morena Films,13,"$4,122,970","$95,105,273"
Media Programme of the European Union,13,"$3,642,291","$11,906,394"
Productivity Media,13,"$1,690,013","$3,670,199"
Film Fund Luxembourg,13,"$1,179,993","$19,197,576"
VPRO,13,"$852,082","$2,832,537"
Media House Capital,13,"$834,382","$2,198,775"
Zeitgeist Films,13,"$535,001","$741,600"
Buffalo Gal Pictures,13,"$516,597","$7,497,687"
Motion Picture Capital,13,"$281,136","$17,924,600"
American Express,13,"$198,580","$217,413"
Jerry Bruckheimer Films,12,"$1,544,048,376","$3,627,490,634"
Judd Apatow,12,"$1,086,897,505","$1,466,532,831"
20th Century Fox Animation,12,"$935,230,337","$2,699,416,199"
De Line Pictures,12,"$806,456,341","$1,715,290,542"
Icon Productions,12,"$752,171,349","$1,306,873,029"
Tyler Perry Studios,12,"$597,476,825","$625,731,022"
Flynn Picture Company,12,"$585,483,613","$1,754,024,345"
State Street Pictures,12,"$342,191,837","$448,049,720"
Wonderland Sound and Vision,12,"$339,697,891","$768,171,276"
Black Label Media,12,"$337,811,955","$719,506,315"
Exclusive Media Group,12,"$266,036,687","$596,129,880"
Davis Films,12,"$251,661,342","$1,244,885,545"
Bona Film Group,12,"$247,040,806","$1,251,231,488"
Alliance Films,12,"$220,917,826","$429,000,838"
Studio Babelsberg,12,"$214,393,601","$627,256,195"
Indian Paintbrush,12,"$204,697,004","$431,590,133"
Denver & Delilah Films,12,"$146,145,980","$273,335,933"
Apple Film,12,"$130,544,661","$381,825,875"
Material Pictures,12,"$113,985,603","$218,550,347"
Hammer Films,12,"$103,618,322","$223,854,041"
Liddell Entertainment,12,"$101,839,747","$125,609,975"
Sierra Films,12,"$93,876,327","$178,810,973"
New World Pictures,12,"$91,040,934","$91,107,582"
BCDF Pictures,12,"$84,782,797","$410,750,220"
Electric Shadow Company,12,"$82,639,095","$91,122,856"
Studio 37,12,"$54,202,137","$223,139,675"
Aperture Media Partners,12,"$46,602,796","$77,523,286"
Channel 4,12,"$31,551,495","$92,914,221"
Screen Queensland,12,"$29,563,424","$112,506,949"
Big Indie Pictures,12,"$28,277,576","$56,307,053"
Medusa Film,12,"$25,873,440","$220,031,369"
Fox International Productions,12,"$25,667,803","$149,158,426"
X Filme Creative Pool,12,"$23,650,283","$91,311,736"
Red Crown,12,"$18,884,577","$24,200,632"
Prescience,12,"$16,842,842","$109,169,690"
Aide aux Cinemas du Monde,12,"$13,433,788","$64,392,651"
Komplizen,12,"$10,870,324","$33,318,907"
Signature Entertainment,12,"$10,519,388","$14,679,161"
